id,technicalobject,technicaltype,objecttype,maintenanceplant,location,plantsection,superiortechnicalobject,manufacturer,plannergroup,mainworkcenter,systemstatus,technicalidentificationnumber
1,CNC Machine,EQUIPMENT,GENERIC,PL01,LOC01,SEC01,,ABC,PG1,WC1,UNDERMAINTENANCE,TID-001
2,Laser Cutting Tool,TOOL,GENERIC,PL02,LOC02,SEC02,1,XYZ,PG2,WC2, ACTIVE ,TID-002
3,Hydraulic Press,EQUIPMENT,GENERIC,PL03,LOC03,SEC01,,HPM,PG3,WC3,ACTIVE,TID-003
4,3D Printer Model X,PRINTER,GENERIC,PL01,LOC02,SEC03,1,MakerTech,PG1,WC1,UNDERMAINTENANCE,TID-004
5,Robotic Arm Type A,ROBOT,GENERIC,PL02,LOC05,SEC04,,RoboCorp,PG2,WC2,ACTIVE,TID-005
6,Industrial Conveyor Belt,CONVEYOR,GENERIC,PL03,LOC04,SEC01,3,TransFlow,PG3,WC4,INACTIVE,TID-006
7,Welding Machine Pro,WELDER,GENERIC,PL04,LOC06,SEC02,,WeldMax,PG4,WC2,ACTIVE,TID-007
8,Air Compressor 500L,COMPRESSOR,GENERIC,PL02,LOC03,SEC03,5,AirTech,PG2,WC3,UNDERMAINTENANCE,TID-008
9,Grinding Machine GM-9,GRINDER,GENERIC,PL05,LOC01,SEC05,,GrindWorks,PG5,WC5,INACTIVE,TID-009
10,Injection Molding Unit 500T,MOULDING,GENERIC,PL06,LOC04,SEC02,7,MoldMaster,PG6,WC6,ACTIVE,TID-010
11,Packaging Line Scanner,SCANNER,GENERIC,PL04,LOC07,SEC02,10,PackScan,PG4,WC4,UNDERMAINTENANCE,TID-011
12,Heat Treatment Furnace,HEATER,GENERIC,PL03,LOC08,SEC03,,HeatPro,PG3,WC3,ACTIVE,TID-012
